,Brand_Class_num,Owner_Type_num,Transmission_num,Fuel_Type_num,Kilometers_Driven_log,Mileage,Seats,Ageofcar,Power,Engine,Price_log
0,0,1,0,0,11.184421397998191,26.6,5.0,11,58.16,998,0.5596157879354227
1,0,1,0,1,10.621327345686446,19.67,5.0,6,126.2,1582,2.525728644308256
2,0,1,0,2,10.736396675471232,18.2,5.0,10,88.7,1199,1.5040773967762742
3,0,1,0,1,11.37366339763672,20.77,7.0,9,88.76,1248,1.791759469228055
4,1,2,1,1,10.61324599890127,15.2,5.0,8,140.8,1968,2.8758219768814333
5,0,1,0,3,11.225243392518449,21.1,5.0,9,55.2,814,0.8544153281560676
6,1,1,0,1,11.373651903317787,23.08,5.0,8,63.1,1461,1.252762968495368
7,0,1,1,1,10.491274217438248,11.36,8.0,5,171.5,2755,2.862200880929469
8,1,1,0,1,11.073334642132687,20.54,5.0,8,103.6,1598,1.6486586255873816
9,0,2,0,1,11.096379186851246,22.3,5.0,9,74.0,1248,0.6678293725756554
10,0,1,0,2,10.153934938377684,21.56,5.0,3,103.25,1462,2.2975725511705014
11,0,1,1,2,11.002099841204238,16.8,5.0,9,116.3,1497,1.501852701754163
12,0,1,0,1,11.07324151347538,25.2,5.0,6,74.0,1248,1.7227665977411035
13,1,1,1,1,11.184421397998191,12.7,5.0,7,187.7,2179,3.295836866004329
14,1,2,1,1,11.350406535472452,12.39,5.0,9,115.0,2179,2.862200880929469
15,0,1,0,1,11.608235644774552,13.5,7.0,7,175.56,2477,2.70805020110221
16,0,1,0,1,10.984444905965518,25.8,5.0,5,98.6,1498,1.6863989535702288
17,0,1,0,1,10.126631103850338,28.4,5.0,4,74.0,1248,1.790091412127358
18,0,1,0,1,11.257633135320098,20.45,5.0,7,83.8,1461,1.8468787684491343
19,1,1,1,1,11.2708539037705,14.84,5.0,7,167.62,2143,3.332204510175204
20,1,1,1,1,10.403717237088715,22.69,5.0,7,190.0,1995,2.920469789053444
21,0,2,0,1,10.922190457975937,23.65,5.0,6,88.5,1248,2.110213200346589
22,1,1,1,2,10.932839076694297,13.53,5.0,6,177.01,1984,3.157000421150113
23,0,1,0,2,10.73219219685162,18.5,5.0,11,80.0,1197,0.6259384308664954
24,1,1,1,2,10.404262840448617,14.4,5.0,11,103.6,1598,1.0473189942805592
25,0,1,0,2,10.857459351377972,16.8,5.0,9,116.3,1497,1.4469189829363254
26,1,1,0,1,10.896739325546411,23.08,5.0,9,63.1,1461,1.4469189829363254
27,0,2,0,2,10.896739325546411,20.92,5.0,8,67.1,998,1.01160091167848
28,0,1,0,2,10.530227800898476,17.5,5.0,3,88.7,1199,2.2925347571405443
29,0,4,0,1,12.476099782743232,12.8,7.0,14,102.0,2494,1.3862943611198906
30,0,1,0,1,11.03488966402723,19.01,5.0,8,108.45,1461,2.0476928433652555
31,0,1,0,2,11.38070749514252,14.53,5.0,9,138.1,1798,1.9095425048844383
32,0,2,1,1,11.184421397998191,11.18,7.0,8,184.0,2696,2.525728644308256
33,1,1,1,1,10.46310334047155,12.4,5.0,11,179.5,2698,2.4423470353692043
34,1,2,0,2,10.922894283023265,16.09,5.0,7,103.5,1598,1.9430489167742813
35,0,2,0,2,11.3363791990328,14.0,5.0,12,64.0,1061,0.6151856390902335
36,0,1,0,1,10.821277160534018,24.3,5.0,3,88.5,1248,2.155244505095337
37,0,1,0,2,10.858998997563564,18.15,5.0,4,82.0,1198,1.5789787049493915
38,1,1,1,1,11.350406535472452,11.74,5.0,8,254.8,2987,3.332204510175204
39,1,1,0,1,11.03488966402723,22.07,5.0,8,73.9,1199,1.6094379124341005
40,0,2,0,2,11.407564949312402,19.7,5.0,13,46.3,796,0.2231435513142097
41,0,1,0,2,9.888272386729648,25.4,4.0,7,37.5,624,0.4252677354043441
42,0,1,0,1,10.000296608464188,25.32,6.0,4,77.0,1198,1.7191887763932197
43,0,1,0,2,10.476921711213846,18.5,5.0,7,82.9,1197,1.556037135706985
44,0,1,1,2,10.744494236334926,14.62,5.0,7,149.92,1999,2.180417459019838
45,0,1,1,2,10.859018228147889,14.28,5.0,5,138.03,1798,2.31352503303238
46,0,2,0,1,10.968284492709508,14.9,5.0,13,112.2,1991,1.4469189829363254
47,0,1,0,2,11.16625742737052,11.25,7.0,9,163.7,2694,2.3933394562625097
48,0,1,0,1,11.225243392518449,24.4,5.0,7,71.0,1120,1.3480731482996928
49,0,2,0,1,11.235853571630464,16.55,6.0,9,105.0,2498,1.7047480922384253
50,1,1,1,1,9.52134826973146,17.11,5.0,6,174.33,1968,3.064791809485486
51,0,1,0,1,10.858998997563564,22.9,5.0,7,74.0,1248,1.4469189829363254
52,0,1,0,1,10.87804719253426,17.8,5.0,7,75.0,1248,1.1939224684724346
53,0,1,0,1,11.09209287973094,28.4,5.0,8,74.0,1248,1.3480731482996928
54,0,3,0,2,10.896739325546411,18.9,5.0,6,82.0,1197,1.2809338454620642
55,1,1,0,2,10.571316925111784,15.04,5.0,6,103.2,1598,1.383791230901772
56,0,1,0,2,9.713657880251851,25.17,5.0,4,53.3,799,1.1939224684724346
57,0,1,0,2,10.373491181781864,20.36,5.0,11,78.9,1197,0.7275486072772777
58,1,1,1,1,11.71023415157243,13.29,5.0,11,147.6,1995,2.0476928433652555
59,0,1,0,2,10.578979797857352,18.2,5.0,11,67.1,998,0.8109302162163288
60,0,1,0,1,9.998797732340453,13.68,8.0,4,147.8,2393,2.803360380906535
61,0,1,0,1,11.184421397998191,20.0,5.0,11,68.0,1399,1.01160091167848
62,1,1,1,2,10.968198289528557,11.74,5.0,6,186.0,1796,3.284663565406204
63,1,2,0,1,11.082142548877776,15.8,5.0,10,170.0,2148,2.302585092994046
64,0,1,0,1,12.089538829274222,25.0,5.0,5,69.0,1396,0.9162907318741552
65,1,1,1,1,11.092306109090387,16.55,5.0,9,140.0,1968,2.602689685444384
66,0,2,1,2,11.05089000537367,16.4,5.0,14,78.0,1497,0.6151856390902335
67,1,1,1,1,9.640107772607312,18.2,5.0,2,194.0,1950,3.5743099993708003
68,0,1,0,1,11.05089000537367,24.52,7.0,5,88.5,1248,2.0980179272527715
69,0,1,0,1,9.472704636443671,22.1,5.0,3,88.7,1396,2.3513752571634776
70,1,1,1,2,11.198214720130528,8.5,5.0,13,500.0,4806,2.6741486494265287
71,0,1,0,1,10.928255936745677,15.1,7.0,6,140.0,2179,2.2669579153508947
72,0,1,1,2,10.71836552166722,16.95,5.0,9,78.9,1197,1.247032293786383
73,1,1,0,1,10.93428484717576,19.64,5.0,6,108.5,1461,1.9344157696295785
74,0,2,1,2,10.526748605631909,16.5,5.0,5,86.8,1198,1.8656293177945105
75,1,2,1,1,10.933106969717286,18.53,5.0,7,187.74,1968,3.3843902633457743
76,0,1,0,1,11.618284980627555,17.8,5.0,13,68.0,1399,0.6931471805599453
77,0,3,0,2,12.345834587905332,12.4,8.0,15,132.0,1998,1.5040773967762742
78,0,1,0,1,11.55214617812351,12.8,7.0,9,102.0,2494,2.463853240590168
79,0,1,0,2,11.380433531920367,17.0,5.0,16,62.1,1086,0.262364264467491
80,0,1,0,1,11.46268424853348,22.9,5.0,9,74.0,1248,1.3217558399823195
81,0,1,0,2,11.156250521031495,17.57,5.0,4,88.7,1193,1.5040773967762742
82,0,1,0,2,10.914069763697205,18.0,5.0,5,86.7,1198,1.572773928062509
83,0,1,0,1,11.161053255132654,20.0,5.0,9,68.0,1399,1.029619417181158
84,0,1,0,1,11.50929889691453,23.2,5.0,8,73.94,1248,1.1346227261911428
85,0,1,0,2,10.858998997563564,17.8,5.0,12,117.3,1497,1.1786549963416462
86,1,2,1,1,11.225243392518449,16.73,5.0,10,218.0,1995,2.631888840136646
87,0,1,0,2,11.471895115412236,20.36,5.0,12,78.9,1197,0.8109302162163288
88,0,1,0,2,9.680344001221918,18.9,5.0,5,82.0,1197,1.749199854809259
89,0,1,0,2,11.208368475293602,17.0,5.0,14,62.1,1086,0.7419373447293773
90,0,1,0,2,9.849506438669614,17.8,5.0,5,86.7,1198,1.6094379124341005
91,0,1,0,1,11.580584113444043,13.0,7.0,7,168.5,2982,2.803360380906535
92,1,1,1,1,10.78657304197918,17.68,5.0,3,174.33,1968,3.678323940174419
93,0,1,0,1,10.950806546816688,22.7,5.0,8,89.84,1498,1.7047480922384253
94,0,1,0,1,10.968198289528557,15.1,7.0,7,140.0,2179,2.091864061678393
95,0,1,0,1,10.308952660644293,25.8,5.0,6,98.6,1498,1.252762968495368
96,1,1,0,1,10.440331738700673,22.07,5.0,8,73.9,1199,1.0260415958332745
97,0,1,0,1,11.156279092051912,16.2,5.0,11,110.0,1493,1.2383742310432684
98,0,1,0,2,11.03488966402723,18.9,5.0,5,67.1,998,1.4929040961781488
99,1,1,0,2,11.034905792929417,15.26,5.0,11,103.5,1598,0.9745596399981308
100,0,2,0,1,11.276671344505925,23.0,5.0,10,90.0,1396,1.33500106673234
101,0,1,0,2,10.31493473232184,18.5,5.0,7,82.85,1197,1.536867219599265
102,0,1,0,2,10.39973746484973,19.83,7.0,4,67.0,1198,1.3737155789130306
103,1,1,1,1,10.308952660644293,14.94,5.0,11,241.4,2967,2.2823823856765264
104,0,2,0,2,11.097410021008562,17.0,5.0,12,80.0,1197,0.9932517730102834
105,0,1,0,2,11.449453042014657,14.0,5.0,11,35.0,796,0.8796267475025636
106,0,1,0,2,10.87804719253426,17.71,5.0,7,78.9,1197,1.3609765531356006
107,1,2,1,1,11.26446410567173,14.74,5.0,10,270.9,2993,3.1780538303479458
108,0,2,0,1,11.082142548877776,16.0,7.0,9,140.0,2179,1.749199854809259
109,0,1,1,1,10.596634733096073,22.32,5.0,7,126.32,1582,1.6582280766035324
110,0,1,1,1,10.308952660644293,11.36,7.0,4,171.5,2755,2.9575110607337933
111,0,1,0,2,10.546735203808645,15.1,5.0,4,73.0,1196,1.3635373739972745
112,0,1,0,2,10.146433731146518,25.4,4.0,7,37.5,624,0.7654678421395714
113,1,1,1,1,10.934659335602204,22.69,5.0,6,190.0,1995,3.0325462466767075
114,0,1,0,2,11.17167382517569,13.5,5.0,11,130.0,1799,1.208960345836975
115,0,1,0,1,10.915088464214609,12.99,7.0,7,100.6,2494,2.4078456036515385
116,1,1,1,1,10.395130356885344,23.3,5.0,7,150.0,1984,2.995732273553991
117,1,1,1,2,10.593680373269637,19.15,5.0,5,75.94,1198,1.8794650496471603
118,1,1,1,2,11.759785542901756,10.8,5.0,12,215.0,2497,1.9459101490553128
