S.No.,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Ageofcar,Brand_Class,Kilometers_Driven_log,Price_log
0,Mumbai,72000,CNG,Manual,First,26.6,998,58.16,5.0,1.75,11,Low,11.184421397998193,0.5596157879354227
1,Pune,41000,Diesel,Manual,First,19.67,1582,126.2,5.0,12.5,6,Low,10.621327345686446,2.5257286443082556
2,Chennai,46000,Petrol,Manual,First,18.2,1199,88.7,5.0,4.5,10,Low,10.736396675471232,1.5040773967762742
3,Chennai,87000,Diesel,Manual,First,20.77,1248,88.76,7.0,6.0,9,Low,11.37366339763672,1.791759469228055
4,Coimbatore,40670,Diesel,Automatic,Second,15.2,1968,140.8,5.0,17.74,8,High,10.61324599890127,2.8758219768814333
5,Hyderabad,75000,LPG,Manual,First,21.1,814,55.2,5.0,2.35,9,Low,11.225243392518447,0.8544153281560676
6,Jaipur,86999,Diesel,Manual,First,23.08,1461,63.1,5.0,3.5,8,High,11.373651903317787,1.252762968495368
7,Mumbai,36000,Diesel,Automatic,First,11.36,2755,171.5,8.0,17.5,5,Low,10.491274217438248,2.8622008809294686
8,Pune,64430,Diesel,Manual,First,20.54,1598,103.6,5.0,5.2,8,High,11.073334642132687,1.6486586255873816
9,Chennai,65932,Diesel,Manual,Second,22.3,1248,74.0,5.0,1.95,9,Low,11.096379186851246,0.6678293725756554
10,Kochi,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,9.95,3,Low,10.153934938377683,2.2975725511705014
11,Kolkata,60000,Petrol,Automatic,First,16.8,1497,116.3,5.0,4.49,9,Low,11.002099841204238,1.501852701754163
12,Jaipur,64424,Diesel,Manual,First,25.2,1248,74.0,5.0,5.6,6,Low,11.07324151347538,1.7227665977411035
13,Delhi,72000,Diesel,Automatic,First,12.7,2179,187.7,5.0,27.0,7,High,11.184421397998193,3.295836866004329
14,Pune,85000,Diesel,Automatic,Second,12.39,2179,115.0,5.0,17.5,9,High,11.350406535472453,2.8622008809294686
15,Delhi,110000,Diesel,Manual,First,13.5,2477,175.56,7.0,15.0,7,Low,11.608235644774552,2.70805020110221
16,Kochi,58950,Diesel,Manual,First,25.8,1498,98.6,5.0,5.4,5,Low,10.984444905965518,1.6863989535702288
17,Jaipur,25000,Diesel,Manual,First,28.4,1248,74.0,5.0,5.99,4,Low,10.126631103850338,1.7900914121273581
18,Kochi,77469,Diesel,Manual,First,20.45,1461,83.8,5.0,6.34,7,Low,11.257633135320098,1.8468787684491346
19,Bangalore,78500,Diesel,Automatic,First,14.84,2143,167.62,5.0,28.0,7,High,11.2708539037705,3.332204510175204
20,Kochi,32982,Diesel,Automatic,First,22.69,1995,190.0,5.0,18.55,7,High,10.403717237088715,2.920469789053444
21,Bangalore,55392,Diesel,Manual,Second,23.65,1248,88.5,5.0,8.25,6,Low,10.922190457975935,2.1102132003465894
22,Mumbai,55985,Petrol,Automatic,First,13.53,1984,177.01,5.0,23.5,6,High,10.932839076694297,3.1570004211501135
23,Kolkata,45807,Petrol,Manual,First,18.5,1197,80.0,5.0,1.87,11,Low,10.73219219685162,0.6259384308664954
24,Kolkata,33000,Petrol,Automatic,First,14.4,1598,103.6,5.0,2.85,11,High,10.404262840448617,1.0473189942805592
25,Mumbai,51920,Petrol,Manual,First,16.8,1497,116.3,5.0,4.25,9,Low,10.857459351377972,1.4469189829363254
26,Hyderabad,54000,Diesel,Manual,First,23.08,1461,63.1,5.0,4.25,9,High,10.896739325546411,1.4469189829363254
27,Hyderabad,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,2.75,8,Low,10.896739325546411,1.0116009116784799
28,Kochi,37430,Petrol,Manual,First,17.5,1199,88.7,5.0,9.9,3,Low,10.530227800898475,2.2925347571405443
